"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ANKRD30BL",17429.7395105736,10.116375630789,0.685638038613631,14.7546884231284,2.87013828939236e-49,5.72420380436412e-45
"ANKRD35",149.53200621389,3.49946316742945,0.759718388730178,4.606263609439,4.09968622209483e-06,7.78706114413898e-05
"ANKRD36B",1058.31565102769,-2.15304486540358,0.771344213034967,-2.79128932196446,0.00524985219879095,0.0249115042238131
"ANKRD36BP2",1673.15290217259,-2.69384318862148,0.529719277556354,-5.08541656450269,3.66820064838265e-07,9.71561669738958e-06
"ANKRD44",2162.20789377275,-2.80808154658538,0.631288401652457,-4.44817541275108,8.66027942716206e-06,0.000146862563407883
"ANKRD49",249.630735606898,-1.88444155729998,0.534053687499899,-3.52856201802808,0.000417824029807692,0.00343490620382713
"ANKRD52",476.884930944247,1.60218525940081,0.572526912899203,2.79844531899391,0.00513492630252804,0.0244755219402486
"ANKRD53",33.0649972710591,3.36128623867352,0.885125640291048,3.79752442553609,0.00014614837935487,0.00147733567047822
"ANLN",147.675236167444,-2.04954779514645,0.816714840207595,-2.50950233085699,0.0120901417716692,0.0476436841005252
"ANO5",303.325685174993,1.33548313590056,0.466969946100657,2.85989097810738,0.00423786669291324,0.0212896759001163
"ANO6",3038.31122157737,-1.11671688011723,0.227447701671468,-4.90977429936948,9.11812762077348e-07,2.10233453489834e-05
"ANO8",392.304728081439,3.96010064871736,0.705476943938523,5.61336650721566,1.98427693519732e-08,8.15967406094339e-07
"ANP32B",1469.10793416991,3.05118563537348,0.527736505419736,5.78164596164656,7.39732586192519e-09,3.46319875563934e-07
"ANP32E",629.044491327728,2.14801124746638,0.6159771093333,3.48716082938743,0.000488177691429537,0.00389448635114828
"ANTKMT",106.497164060184,2.80730021564304,0.492298377058608,5.702436462245,1.18106941296336e-08,5.19983407773537e-07
"ANTXR1",11063.4374437039,2.04907917892922,0.553446245220568,3.70239963975651,0.000213569853122708,0.00200538472254204
"ANTXR2",3226.99672535268,-1.05025124133186,0.328899670562368,-3.19322679629349,0.00140692399129241,0.00900792683221057
"ANTXRLP1",12.8528500378723,-3.84344971513002,1.40436701713066,-2.73678437918799,0.00620429441296608,0.0284521609041608
"AOAH",633.667709158742,-2.37230351835114,0.718461765243097,-3.30192034303795,0.000960253360810811,0.00663592967013542
"AOC1",35.8260464449514,2.40443036909563,0.579950055829667,4.14592661027662,3.3844222478594e-05,0.000447605552462254
"AP1G1",1822.1238164934,-1.0957246744222,0.393082276918179,-2.78751991316636,0.00531131899021404,0.0251195034244318
"AP1S2",1101.44672190237,-1.15006471620618,0.398212924515006,-2.88806476486637,0.00387620052270997,0.0198696854119157
"AP1S3",322.714134958864,1.42559162288755,0.508104691257664,2.80570450817708,0.00502067102754364,0.0240912444108639
"AP2A1",989.058897885197,1.67764404202948,0.432895297684171,3.87540370848159,0.000106448068582993,0.00114632844482679
"AP3B1",1886.1355953428,-1.09572996489901,0.304242415497382,-3.60150297619642,0.000316382800064598,0.0027595850635357
"AP3D1",1388.64381256133,1.03512550981089,0.303643248936318,3.40901868701842,0.000651970135139719,0.00490305142353942
"AP5Z1",591.313134278196,1.19548388604982,0.340389921475281,3.51210130096827,0.000444578506292267,0.00360694727830917
"APBA2",43.9122970979903,-1.92360466550398,0.607094480350467,-3.16854250493846,0.00153205345125173,0.00964535707697398
"APBB1",311.797226520547,1.82637821147706,0.512849593376512,3.56123556509523,0.000369113734768883,0.0031100989971401
"APBB1IP",1186.60043093286,-1.29858767366887,0.32873686577357,-3.95023439373947,7.80746960540957e-05,0.000889275692805759
"APC2",200.32238590199,4.91521033878479,0.790787062567346,6.21559275745763,5.11312576459389e-10,3.258024928085e-08
"APEH",378.236888815825,1.81873209922549,0.503770299933097,3.61024081702916,0.000305912851045569,0.00268417329575576
"APH1B",402.685560760524,-1.2280763771611,0.445536317896618,-2.75640015826063,0.00584414514225177,0.0271232813941811
"API5",1387.57150977461,-1.14779382174037,0.334755403674885,-3.42875367847716,0.00060635957442007,0.00462633334056384
"APMAP",773.450414074401,-1.48838643242479,0.505787115162975,-2.94271322420937,0.00325349649148276,0.017294172181805
"APOBEC2",38.7622016105251,-3.35463775794685,1.26433207759896,-2.65328849705174,0.00797117085742687,0.0347798351176696
"APOBEC3C",415.179896660038,1.7253517211311,0.470553395331243,3.66664386709303,0.000245754680777904,0.00225220861274476
"APOBR",232.58177217208,2.90346046683549,0.395615829437325,7.33909073093715,2.15049798200052e-13,3.04181076262541e-11
"APOC2",254.096179979984,5.62157999144446,1.29041084194253,4.35642650288182,1.32203056346938e-05,0.00020728441476284
"APOE",3256.15598729609,4.43082934579962,0.852428415003662,5.19789024839181,2.01563069103688e-07,5.86002018980168e-06
"APOL6",3019.11282621691,-1.0925731829777,0.289038219533025,-3.78003014529663,0.000156809372121659,0.00156370305879718
"APRT",369.152657863818,1.08747044582569,0.430098621412834,2.5284211380484,0.0114576823614155,0.0457939913859862
"AQP4",11.1451765489321,6.75322822915056,1.73600853220378,3.89008930767043,0.000100207336157232,0.00109030829913794
"AQP6",16.3104043201656,2.21449379685085,0.849947554962287,2.60544757605557,0.00917543135750552,0.0387650387593893
"AQP9",466.041539452347,-5.84002003397145,1.05759755560133,-5.52196816552867,3.35223235669534e-08,1.25200228692756e-06
"ARAP2",1375.23230074521,-3.21231512185679,0.541331214256944,-5.9341028879448,2.95456516385413e-09,1.55477170522181e-07
"ARC",122.681275223191,3.15895768057125,1.00240795139387,3.15136933638512,0.00162506854921442,0.0100622065028042
"AREL1",829.008656694824,-1.94900476120713,0.504120786418643,-3.8661463952978,0.000110568582766588,0.00118367139811961
"ARF3",1291.08249642299,1.06601073228421,0.320117930380304,3.33005630461805,0.000868284242860596,0.006110466104309
"ARFGEF1",2491.25155733483,-1.30477681727225,0.314375613004377,-4.15037542130878,3.31930392742492e-05,0.000440746987540363
"ARFGEF2",2188.74167574885,-1.18725372522727,0.286797420328187,-4.13969457559513,3.4776852364851e-05,0.00045751289153337
"ARFRP1",924.560629196253,1.81152980723813,0.338068037505405,5.3584770113299,8.3926413002802e-08,2.7350136943266e-06
"ARG1",40.6636838801231,-3.72731374474574,0.760452450096396,-4.90144221939617,9.51356322015149e-07,2.18090235474369e-05
"ARGLU1",2410.8257412391,-1.2124174914668,0.425792869186671,-2.84743493657539,0.00440731022668639,0.0219200486685869
"ARHGAP1",1505.1577919494,1.36072103503153,0.314465106205585,4.32709705521967,1.51087398199307e-05,0.000230549890565185
"ARHGAP15",1156.059803729,-1.95807983311448,0.468757975328115,-4.17716590687099,2.95163740158063e-05,0.000398831004994065
"ARHGAP18",2166.18263051401,-1.36593566238296,0.391735458971419,-3.48688287235856,0.000488685330039832,0.00389697729800656
"ARHGAP23",694.979896165627,1.75748695781023,0.454433532330468,3.86742357853155,0.000109991281566709,0.00117875664673103
"ARHGAP25",897.458810258744,-2.3863313392575,0.485187691286774,-4.91836743205226,8.72689878745257e-07,2.02854626360086e-05
"ARHGAP33",157.127576605769,4.01817020520916,0.81738983452037,4.91585536730702,8.83956427676378e-07,2.0475757251542e-05
"ARHGAP39",60.319677190635,3.88230352854493,1.28726387598977,3.01593449560593,0.00256188598328168,0.0144049207923794
"ARHGAP4",648.16317125034,3.70317882807031,0.52264901924801,7.08540280702806,1.3864044404638e-12,1.58002572346343e-10
"ARHGAP45",715.343441904586,2.54622617735195,0.544670769423432,4.67479864955355,2.94242161109434e-06,5.87289867215335e-05
"ARHGDIA",1546.00138437975,3.47764925519224,0.706021401552072,4.92569948665466,8.4059102500589e-07,1.96308517596223e-05
"ARHGEF1",1382.97880371522,2.18579755065981,0.436979521597427,5.00205946189281,5.67210884476263e-07,1.4087738331251e-05
